INDEX NAME1 R1 G1 M1 A1 C1 NAME2 R2 G2 M2 A2 C2
30 J033458.00-054853.3 9.000000e+00 1.248617e-01 2.724552e-04 2.426186e-02 1.532854e-01 J113148.60+005147.7 8.000000e+00 9.509207e-02 1.020429e-02  3.323999e-01
31 J033458.00-054853.3 9.000000e+00 1.248617e-01 2.724552e-04 2.426186e-02 1.532854e-01 J134858.52+033120.9 8.000000e+00 1.246622e-01 1.120459e-04 1.942992e-02 1.001580e-01
32 J033458.00-054853.3 9.000000e+00 1.248617e-01 2.724552e-04 2.426186e-02 1.532854e-01 J091835.38+495042.5 6.000000e+00 1.162291e-01 2.895029e-03 3.358416e-02 1.425145e-01
33 J033458.00-054853.3 9.000000e+00 1.248617e-01 2.724552e-04 2.426186e-02 1.532854e-01 J233813.30+143153.0 7.000000e+00 1.055267e-01 1.932805e-04 8.846718e-02 1.953379e-01
34 J033458.00-054853.3 9.000000e+00 1.248617e-01 2.724552e-04 2.426186e-02 1.532854e-01 J094636.06+081034.8 6.000000e+00 1.399336e-01 1.649194e-04 3.669563e-02 1.524239e-01
35 J011059.31+002601.1 1.000000e+01 1.147707e-01 1.401474e-04 1.999470e-02 1.441730e-01 J110338.36-005208.4 5.000000e+00 9.044782e-02 5.115490e-04 1.469300e-01 1.559978e-01
36 J011059.31+002601.1 1.000000e+01 1.147707e-01 1.401474e-04 1.999470e-02 1.441730e-01 J100213.84+114120.5 9.000000e+00 1.015879e-01 9.603530e-04 1.464405e-01 3.967510e-01
37 J011059.31+002601.1 1.000000e+01 1.147707e-01 1.401474e-04 1.999470e-02 1.441730e-01 J091835.38+495042.5 6.000000e+00 1.162291e-01 2.895029e-03 3.358416e-02 1.425145e-01
38 J011059.31+002601.1 1.000000e+01 1.147707e-01 1.401474e-04 1.999470e-02 1.441730e-01 J221210.26+135703.6 7.000000e+00 9.130494e-02 0.000000e+00 6.922914e-01 
39 J011059.31+002601.1 1.000000e+01 1.147707e-01 1.401474e-04 1.999470e-02 1.441730e-01 J141547.22+411824.4 8.000000e+00 1.082337e-01 2.176701e-04 8.706577e-02 1.965571e-01
40 J120114.35-034041.0 8.000000e+00 1.372103e-01 0.000000e+00 3.110617e-02 1.335587e-01 J225900.18+132951.7 7.000000e+00 1.126518e-01 5.512071e-05 1.017177e-01 1.007726e-01
41 J120114.35-034041.0 8.000000e+00 1.372103e-01 0.000000e+00 3.110617e-02 1.335587e-01 J111038.86+034519.6 8.000000e+00 1.403447e-01 1.154357e-05 1.144535e-01 1.666198e-01
42 J120114.35-034041.0 8.000000e+00 1.372103e-01 0.000000e+00 3.110617e-02 1.335587e-01 J082854.33+343906.0 1.700000e+01 1.574769e-01 2.815931e-05 3.269888e-01 3.649607e-01
43 J120114.35-034041.0 8.000000e+00 1.372103e-01 0.000000e+00 3.110617e-02 1.335587e-01 J024440.65-090735.5 1.100000e+01 1.168690e-01 8.196887e-05 1.005415e-02 1.031875e-01
44 J120114.35-034041.0 8.000000e+00 1.372103e-01 0.000000e+00 3.110617e-02 1.335587e-01 J130709.78+523247.1 9.000000e+00 1.174970e-01 0.000000e+00 1.090918e-01 1.507586e-01
